trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-75.62739610486167,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.29799467643693,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-62.526925280135266,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-58.1793878599329,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.39722890001878,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.24432228245052,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.701045380464585,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.15210973740804,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.30068440117491,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.841818098195716,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.752853004618984,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.89223801913938,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.44478299731155,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.17720955613997,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.609875431586097,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.12538552736912,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.76598216732311,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.55495188125069,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.81160861696646,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.90836268009838,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.78880541229765,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.215191180847086,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-21.075301566270618,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",30,0,-39.075902804220654,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.538549179461,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.08824191559668,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.18611083719431,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.1405400888201,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.62216712595203,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.2811708378365,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.88613871071042,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.823633079153055,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.84195100343057,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 1.0}",30,0,-60.57041649493315,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.90317467272436,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.51776616051937,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 1.0}",35,0,-55.43545662231641,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.67217846052877,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.49956439297231,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.80040196356991,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.797734743940694,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.591587428789076,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.794724589186124,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.8666054865268,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.58378567944818,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.39938322670008,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.304570719274736,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 1.0}",30,0,-38.87467518356459,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.01809823491025,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.63160849713295,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.106732168343534,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
