trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-31.58443890176382,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-65.70538690059648,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-110.01191066884238,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-120.35092788327705,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-121.73576323838482,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-89.431070201366,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-24.547711631083818,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-308.77807014814755,"{0: 8, 1: 5, 2: 11, 3: 3, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,8,-110.85322586895045,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 2}",1
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-60.796486231976466,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-130.8271689714625,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-66.95284165334262,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",30,0,-90.73703204946482,"{0: 18, 1: 8, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",30,0,-113.71089713353487,"{0: 16, 1: 8, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-206.5439450321425,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-106.33957828344138,"{0: 17, 1: 5, 2: 0, 3: 1, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-88.96248386100763,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-122.66199117856328,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-96.34596018913489,"{0: 12, 1: 2, 2: 2, 3: 4, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-132.96701816254554,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-85.10599029208286,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-292.41287961543844,"{0: 8, 1: 4, 2: 6, 3: 3, 4: 4}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-146.08290824080385,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-133.04121716208883,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-41.81676703415146,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-180.88211485607962,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-85.68657427434181,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-126.19841508368478,"{0: 7, 1: 4, 2: 7, 3: 2, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",30,0,-151.90103268585105,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-131.4369626598052,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",35,0,-257.4032704094934,"{0: 18, 1: 5, 2: 7, 3: 1, 4: 4}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-47.591755111601685,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",25,0,-76.99284343008647,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-53.868023335502194,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,0,-88.82865896548427,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
