trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-160.97522656270203,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",35,0,-167.8944770961654,"{0: 22, 1: 1, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-29.942036352895794,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-146.63723510986978,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-37.201961750104765,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",30,0,-144.60926547503087,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-111.33339981016886,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-179.89926895407925,"{0: 14, 1: 2, 2: 3, 3: 4, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-78.51973033158256,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-129.88478602645276,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-126.08444983342679,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-234.62248145296283,"{0: 12, 1: 6, 2: 1, 3: 2, 4: 4}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-100.99318222912942,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-141.8961019135886,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,0,-144.2912684510948,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",30,0,-181.22513737417748,"{0: 16, 1: 2, 2: 7, 3: 4, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-152.69891306284384,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-172.64392815296875,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-142.66618105426522,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-125.62849617885372,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0.9627129408911995}",20,0,-68.54938356139566,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0.9627129408911995}",25,0,-155.61422590581773,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0.9627129408911995}",20,0,-138.7924583989673,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0.9627129408911995}",20,7,-77.62457070168232,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0.9627129408911995}",20,6,-129.8337931121477,"{0: 7, 1: 2, 2: 1, 3: 2, 4: 2}",1
6,True,"{'a': 0, 'e': 0.9627129408911995}",30,0,-160.19694209279234,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0.9627129408911995}",20,0,-65.4068173267572,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0.9627129408911995}",20,0,-92.0889664428172,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0.9627129408911995}",30,0,-51.09630443416955,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0.9627129408911995}",35,0,-127.11368179365715,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
